gid,split,date_min,date_max,n_leaves,voc_id,prospective,exact_recall,acquired_recall,bundle_frac,root_n_sig,root_bundle
26,val,2020-08-06,2020-08-10,300,Mu,True,0.1111,0.0000,0.0000,1,
28,val,2020-08-12,2020-08-15,300,Gamma,True,0.1667,0.0833,0.0000,1,
28,val,2020-08-12,2020-08-15,300,Zeta,True,0.3333,0.0000,0.0000,1,
28,val,2020-08-12,2020-08-15,300,Alpha,True,0.1429,0.0000,0.0000,1,
28,val,2020-08-12,2020-08-15,300,Beta,True,0.1429,0.0000,0.0000,1,
28,val,2020-08-12,2020-08-15,300,Delta,True,0.1667,0.0000,0.0000,1,
28,val,2020-08-12,2020-08-15,300,Omicron_BA1,True,0.1071,0.0357,0.0000,2,S477N
28,val,2020-08-12,2020-08-15,300,Lambda,True,0.1667,0.0000,0.0000,1,
28,val,2020-08-12,2020-08-15,300,Mu,True,0.1111,0.0000,0.0000,1,
29,val,2020-08-15,2020-08-19,300,Gamma,True,0.0833,0.0000,0.0000,1,
29,val,2020-08-15,2020-08-19,300,Zeta,True,0.3333,0.0000,0.0000,1,
29,val,2020-08-15,2020-08-19,300,Alpha,True,0.2857,0.1429,0.0000,1,
29,val,2020-08-15,2020-08-19,300,Beta,True,0.1429,0.0000,0.0000,1,
29,val,2020-08-15,2020-08-19,300,Delta,True,0.3333,0.1667,0.0000,1,
29,val,2020-08-15,2020-08-19,300,Omicron_BA1,True,0.0714,0.0000,0.0000,2,S477N
29,val,2020-08-15,2020-08-19,300,Lambda,True,0.1667,0.0000,0.0000,1,
29,val,2020-08-15,2020-08-19,300,Mu,True,0.1111,0.0000,0.0000,1,
30,val,2020-08-19,2020-08-23,299,Gamma,True,0.0833,0.0000,0.0000,1,
30,val,2020-08-19,2020-08-23,299,Zeta,True,0.3333,0.0000,0.0000,1,
30,val,2020-08-19,2020-08-23,299,Alpha,True,0.2857,0.1429,0.0000,1,
30,val,2020-08-19,2020-08-23,299,Beta,True,0.1429,0.0000,0.0000,1,
30,val,2020-08-19,2020-08-23,299,Delta,True,0.3333,0.1667,0.0000,1,
30,val,2020-08-19,2020-08-23,299,Omicron_BA1,True,0.0714,0.0357,0.0000,1,
30,val,2020-08-19,2020-08-23,299,Lambda,True,0.1667,0.0000,0.0000,1,
30,val,2020-08-19,2020-08-23,299,Mu,True,0.1111,0.0000,0.0000,1,
31,val,2020-08-23,2020-08-28,300,Gamma,True,0.0833,0.0000,0.0000,1,
31,val,2020-08-23,2020-08-28,300,Zeta,True,0.3333,0.0000,0.0000,1,
31,val,2020-08-23,2020-08-28,300,Alpha,True,0.1429,0.0000,0.0000,1,
31,val,2020-08-23,2020-08-28,300,Beta,True,0.1429,0.0000,0.0000,1,
31,val,2020-08-23,2020-08-28,300,Delta,True,0.1667,0.0000,0.0000,1,
31,val,2020-08-23,2020-08-28,300,Omicron_BA1,True,0.0714,0.0000,0.0000,2,S477N
31,val,2020-08-23,2020-08-28,300,Lambda,True,0.1667,0.0000,0.0000,1,
31,val,2020-08-23,2020-08-28,300,Mu,True,0.1111,0.0000,0.0000,1,
32,val,2020-08-28,2020-09-06,300,Gamma,True,0.0833,0.0000,0.0000,1,
32,val,2020-08-28,2020-09-06,300,Zeta,True,0.3333,0.0000,0.0000,1,
32,val,2020-08-28,2020-09-06,300,Alpha,True,0.1429,0.0000,0.0000,1,
32,val,2020-08-28,2020-09-06,300,Beta,True,0.1429,0.0000,0.0000,1,
32,val,2020-08-28,2020-09-06,300,Delta,True,0.5000,0.3333,0.0000,1,
32,val,2020-08-28,2020-09-06,300,Omicron_BA1,True,0.1071,0.0357,0.0000,2,S477N
32,val,2020-08-28,2020-09-06,300,Lambda,True,0.1667,0.0000,0.0000,1,
32,val,2020-08-28,2020-09-06,300,Mu,True,0.1111,0.0000,0.0000,1,
33,val,2020-09-06,2020-09-27,299,Gamma,True,0.0833,0.0000,0.0000,1,
33,val,2020-09-06,2020-09-27,299,Zeta,True,0.3333,0.0000,0.0000,1,
33,val,2020-09-06,2020-09-27,299,Alpha,True,0.1429,0.0000,0.0000,1,
33,val,2020-09-06,2020-09-27,299,Beta,True,0.1429,0.0000,0.0000,1,
33,val,2020-09-06,2020-09-27,299,Delta,True,0.1667,0.0000,0.0000,1,
33,val,2020-09-06,2020-09-27,299,Omicron_BA1,True,0.0714,0.0000,0.0000,2,S477N
33,val,2020-09-06,2020-09-27,299,Lambda,True,0.1667,0.0000,0.0000,1,
33,val,2020-09-06,2020-09-27,299,Mu,True,0.1111,0.0000,0.0000,1,
34,val,2020-09-27,2024-05-24,71,Gamma,True,0.3333,0.0000,0.0000,0,
34,val,2020-09-27,2024-05-24,71,Zeta,True,0.3333,0.0000,0.0000,0,
34,val,2020-09-27,2024-05-24,71,Alpha,True,0.2857,0.0000,0.0000,0,
34,val,2020-09-27,2024-05-24,71,Beta,True,0.4286,0.0000,0.0000,0,
34,val,2020-09-27,2024-05-24,71,Delta,True,0.5000,0.0000,0.0000,0,
34,val,2020-09-27,2024-05-24,71,Omicron_BA1,True,0.2500,0.0714,0.0000,0,
34,val,2020-09-27,2024-05-24,71,Lambda,True,0.3333,0.0000,0.0000,1,
34,val,2020-09-27,2024-05-24,71,Mu,True,0.5556,0.1111,0.0000,0,
