method,track,sim_regime,root_id,N,H,sample_seed,valid,tree_kl,split_kl,rf,quartet,branch_w_all,terminal_edit,runtime
treesbm,sim_neutral,neutral,NODE_0000200,16,0.0018550131250000003,0,20,0.6931471605599453,57.329793643228356,0.9428571428571428,0.6137087912087912,0.00017639512446911598,0.0024403710247349825,507.19847679138184
treesbm,sim_JTT,JTT,NODE_0000200,16,0.0018550131250000003,0,20,0.6931471605599453,57.329793643228356,0.9428571428571428,0.5912912087912088,0.00017639512446911598,0.0026280918727915195,507.19847679138184
treesbm,sim_WAG,WAG,NODE_0000200,16,0.0018550131250000003,0,20,0.6931471605599453,57.329793643228356,0.95,0.6424175824175824,0.00017639512446911598,0.0032299028268551236,507.19847679138184
treesbm,sim_LG,LG,NODE_0000200,16,0.0018550131250000003,0,20,0.6931471605599453,57.329793643228356,0.925,0.5964835164835165,0.00017639512446911598,0.0030145759717314486,507.19847679138184
phylaflow,empirical,,NODE_0000200,16,0.0018550131250000003,0,20,nan,nan,0.9891812865497076,0.8622802197802197,0.000663523480425209,0.006978798586572439,3.9734392166137695
phylaflow,sim_neutral,neutral,NODE_0000200,16,0.0018550131250000003,0,20,0.6931471610599452,78.45208935769665,0.9855820105820106,0.6211538461538462,0.0006724000866275769,0.0033789752650176677,3.9734392166137695
phylaflow,sim_JTT,JTT,NODE_0000200,16,0.0018550131250000003,0,20,0.6931471610599452,78.45208935769665,0.9747252747252747,0.6062087912087912,0.0006724000866275769,0.003528047703180212,3.9734392166137695
phylaflow,sim_WAG,WAG,NODE_0000200,16,0.0018550131250000003,0,20,0.6931471610599452,78.45208935769665,0.9638787138787139,0.6428021978021978,0.0006724000866275769,0.004124337455830389,3.9734392166137695
phylaflow,sim_LG,LG,NODE_0000200,16,0.0018550131250000003,0,20,0.6931471610599452,78.45208935769665,0.9498677248677249,0.6106868131868132,0.0006724000866275769,0.003936616607773852,3.9734392166137695
artreeformer_adapted,empirical,,NODE_0000200,16,0.0018550131250000003,0,20,nan,nan,0.9833333333333333,0.8752472527472528,0.000764132141728599,0.006592314487632509,0.0
artreeformer_adapted,sim_neutral,neutral,NODE_0000200,16,0.0018550131250000003,0,20,0.6931471605599453,62.95461719085807,0.9518518518518518,0.5882692307692308,0.0002740219649332667,0.002948321554770318,0.0
artreeformer_adapted,sim_JTT,JTT,NODE_0000200,16,0.0018550131250000003,0,20,0.6931471605599453,62.95461719085807,0.9703703703703703,0.5857692307692308,0.0002740219649332667,0.003125,0.0
artreeformer_adapted,sim_WAG,WAG,NODE_0000200,16,0.0018550131250000003,0,20,0.6931471605599453,62.95461719085807,0.9592592592592593,0.6015659340659341,0.0002740219649332667,0.0037212897526501766,0.0
artreeformer_adapted,sim_LG,LG,NODE_0000200,16,0.0018550131250000003,0,20,0.6931471605599453,62.95461719085807,0.9444444444444444,0.5865384615384616,0.0002740219649332667,0.0035335689045936395,0.0
phylovae_adapted,empirical,,NODE_0000200,16,0.0018550131250000003,0,20,nan,nan,1.0,0.8643131868131868,0.000721083300849985,0.007011925795053004,0.0
phylovae_adapted,sim_neutral,neutral,NODE_0000200,16,0.0018550131250000003,0,20,0.6931471605599453,62.637953294805044,0.9481481481481482,0.6062087912087912,0.00025774076263351516,0.0032961572438162546,0.0
phylovae_adapted,sim_JTT,JTT,NODE_0000200,16,0.0018550131250000003,0,20,0.6931471605599453,62.637953294805044,0.9518518518518518,0.6152472527472528,0.00025774076263351516,0.0035666961130742052,0.0
phylovae_adapted,sim_WAG,WAG,NODE_0000200,16,0.0018550131250000003,0,20,0.6931471605599453,62.637953294805044,0.9814814814814815,0.6334615384615385,0.00025774076263351516,0.004168507067137809,0.0
phylovae_adapted,sim_LG,LG,NODE_0000200,16,0.0018550131250000003,0,20,0.6931471605599453,62.637953294805044,0.962962962962963,0.6141208791208791,0.00025774076263351516,0.003925574204946996,0.0
phylaflow_adapted,empirical,,NODE_0000200,16,0.0018550131250000003,0,20,nan,nan,0.9947368421052631,0.8643406593406593,0.0007716229529154682,0.007017446996466431,0.0
phylaflow_adapted,sim_neutral,neutral,NODE_0000200,16,0.0018550131250000003,0,20,0.6931471610599452,78.45208935769665,0.9527676027676028,0.6104120879120879,0.0002483601899978503,0.0033955388692579504,0.0
phylaflow_adapted,sim_JTT,JTT,NODE_0000200,16,0.0018550131250000003,0,20,0.6931471610599452,78.45208935769665,0.9714285714285714,0.5820879120879121,0.0002483601899978503,0.0035722173144876325,0.0
